# params:
# num_input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 1000
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.8040
1	15	100	0	0.8947
2	15	100	0	0.8560
3	15	100	0	0.9173
4	15	100	0	0.9107
5	15	100	0	0.9493
6	15	100	0	0.9407
7	15	100	0	0.8653
8	15	100	0	0.8840
9	15	100	0	0.8967
10	15	100	0	0.8500
11	15	100	0	0.9340
12	15	100	0	0.8793
13	15	100	0	0.8420
14	15	100	0	0.9327
15	15	100	0	0.8113
16	15	100	0	0.9233
17	15	100	0	0.8793
18	15	100	0	0.9313
19	15	100	0	0.9020
20	15	100	0	0.9113
21	15	100	0	0.9040
22	15	100	0	0.8640
23	15	100	0	0.8820
24	15	100	0	0.9327
25	15	100	0	0.8553
26	15	100	0	0.8820
27	15	100	0	0.9040
28	15	100	0	0.9200
29	15	100	0	0.8707
30	15	100	0	0.9033
31	15	100	0	0.8707
32	15	100	0	0.9233
33	15	100	0	0.8833
34	15	100	0	0.9040
35	15	100	0	0.8913
36	15	100	0	0.8720
37	15	100	0	0.8780
38	15	100	0	0.8340
39	15	100	0	0.9073
40	15	100	0	0.9133
41	15	100	0	0.8920
42	15	100	0	0.9253
43	15	100	0	0.8747
44	15	100	0	0.9147
45	15	100	0	0.8407
46	15	100	0	0.9300
47	15	100	0	0.8427
48	15	100	0	0.9340
49	15	100	0	0.9067
# overall average accuracy: 0.8914
