trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.9647
1	15	100	0	0.9893
2	15	100	0	0.9807
3	15	100	0	0.9913
4	15	100	0	0.9993
5	15	100	0	0.9860
6	15	100	0	0.9867
7	15	100	0	0.9893
8	15	100	0	0.9900
9	15	100	0	1.0000
10	15	100	0	0.9687
11	15	100	0	0.9733
12	15	100	0	0.9860
13	15	100	0	0.9720
14	15	100	0	0.9987
15	15	100	0	0.9973
16	15	100	0	0.9947
17	15	100	0	0.9820
18	15	100	0	0.9560
19	15	100	0	0.9927
20	15	100	0	0.9727
21	15	100	0	0.9960
22	15	100	0	1.0000
23	15	100	0	0.9847
24	15	100	0	0.9860
25	15	100	0	0.9980
26	15	100	0	0.9780
27	15	100	0	0.9880
28	15	100	0	0.9867
29	15	100	0	0.9800
30	15	100	0	0.9767
31	15	100	0	0.9653
32	15	100	0	0.9953
33	15	100	0	0.9947
34	15	100	0	0.9860
35	15	100	0	0.9887
36	15	100	0	0.9947
37	15	100	0	0.9927
38	15	100	0	0.9987
39	15	100	0	0.9913
40	15	100	0	0.9913
41	15	100	0	0.9560
42	15	100	0	0.9993
43	15	100	0	0.9953
44	15	100	0	0.9967
45	15	100	0	0.9973
46	15	100	0	0.9960
47	15	100	0	0.9913
48	15	100	0	0.9920
49	15	100	0	0.9940
# overall average accuracy: 0.9872
