# params:
# num_input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 20
# num. dropout: 0
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	20	0.9173
1	15	100	20	0.8667
2	15	100	20	0.9707
3	15	100	20	0.9307
4	15	100	20	0.9487
5	15	100	20	0.9227
6	15	100	20	0.9320
7	15	100	20	0.9527
8	15	100	20	0.8453
9	15	100	20	0.9467
10	15	100	20	0.9413
11	15	100	20	0.8860
12	15	100	20	0.9507
13	15	100	20	0.8747
14	15	100	20	0.9200
15	15	100	20	0.9393
16	15	100	20	0.8700
17	15	100	20	0.9013
18	15	100	20	0.9793
19	15	100	20	0.9700
20	15	100	20	0.7627
21	15	100	20	0.8973
22	15	100	20	0.8500
23	15	100	20	0.9913
24	15	100	20	0.8867
25	15	100	20	0.8440
26	15	100	20	0.9787
27	15	100	20	0.9413
28	15	100	20	0.8367
29	15	100	20	0.9213
30	15	100	20	0.9107
31	15	100	20	0.9387
32	15	100	20	0.9513
33	15	100	20	0.9487
34	15	100	20	0.9493
35	15	100	20	0.9333
36	15	100	20	0.8847
37	15	100	20	0.8633
38	15	100	20	0.9147
39	15	100	20	0.8600
40	15	100	20	0.9300
41	15	100	20	0.9413
42	15	100	20	0.8753
43	15	100	20	0.8340
44	15	100	20	0.9773
45	15	100	20	0.8953
46	15	100	20	0.8853
47	15	100	20	0.9500
48	15	100	20	0.8353
49	15	100	20	0.9027
# overall average accuracy: 0.9111
