trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.8000
1	15	100	0	0.8020
2	15	100	0	0.8007
3	15	100	0	0.8000
4	15	100	0	0.8007
5	15	100	0	0.8007
6	15	100	0	0.8007
7	15	100	0	0.8020
8	15	100	0	0.8053
9	15	100	0	0.8000
10	15	100	0	0.8027
11	15	100	0	0.8000
12	15	100	0	0.8040
13	15	100	0	0.8000
14	15	100	0	0.8013
15	15	100	0	0.8007
16	15	100	0	0.8000
17	15	100	0	0.8000
18	15	100	0	0.8020
19	15	100	0	0.8047
20	15	100	0	0.8033
21	15	100	0	0.8047
22	15	100	0	0.8007
23	15	100	0	0.8007
24	15	100	0	0.8033
25	15	100	0	0.8040
26	15	100	0	0.8000
27	15	100	0	0.8000
28	15	100	0	0.8000
29	15	100	0	0.8007
30	15	100	0	0.8007
31	15	100	0	0.8000
32	15	100	0	0.8013
33	15	100	0	0.8060
34	15	100	0	0.8033
35	15	100	0	0.8013
36	15	100	0	0.8027
37	15	100	0	0.8007
38	15	100	0	0.8000
39	15	100	0	0.8013
40	15	100	0	0.8020
41	15	100	0	0.8007
42	15	100	0	0.8007
43	15	100	0	0.8007
44	15	100	0	0.8007
45	15	100	0	0.8000
46	15	100	0	0.8027
47	15	100	0	0.8000
48	15	100	0	0.8013
49	15	100	0	0.8000
# overall average accuracy: 0.8014
